Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Armenia,Large Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.49,0.72,1.05,1.53,2.21,,4.61
Armenia,Large Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,158.9,162.8,157.5,160.2,159.8,156.3,147.4,170.2,158.6,146.4,137.1,126.9,118.7,,103.7
Armenia,Large Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,216,197,175,150,129,74,123,81,118,173,187,208,197,183,170
Armenia,Large Cars,,Vehicle Sales by make,Honda,vehicles,Statista Market Insights,,108,100,91,81,72,38,64,42,61,89,96,106,101,95,88
Armenia,Large Cars,,Vehicle Sales by make,Hyundai,vehicles,Statista Market Insights,,108,97,84,69,57,36,59,39,57,84,91,102,96,88,82
Armenia,Large Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Armenia,Large Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Armenia,Large Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Armenia,Luxury Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,261.3,276.9,282.3,286.9,290.8,256.5,301.9,284,291.9,292.4,284.4,287.7,283.9,289.8,291.5
Armenia,Luxury Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,42.07,26.58,23.71,19.8,16.57,12.31,22.34,13.92,19.27,28.07,31,33.95,31.23,29.27,27.11
Armenia,Luxury Cars,,Revenue by make,Bentley,million USD (US$),Statista Market Insights,,42.07,26.58,23.71,19.8,16.57,12.31,22.34,13.92,19.27,28.07,31,33.95,31.23,29.27,27.11
Armenia,Luxury Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,100,100,100,100,100,100,100,100,100,100,100,100,100,,100
Armenia,Luxury Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Armenia,Luxury Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,3.85,2.78,4.44,6.25,9.09,,20
Armenia,Luxury Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,,,,,3.85,2.78,2.22,2.08,2.27,,2.86
Armenia,Luxury Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,100,100,100,100,92.31,94.44,93.33,91.67,88.64,,77.14
Armenia,Luxury Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,100,100,100,100,100,100,100,100,100,100,100,100,100,,100
