Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Azerbaijan,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Azerbaijan,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Azerbaijan,Small Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Azerbaijan,Medium Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,26.58,26.91,27.42,28.06,28.69,25.63,28.3,27.65,27.1,27.65,27.43,27.72,27.44,27.6,27.99
Azerbaijan,Medium Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,47.53,41.47,31.84,27.49,24.79,12.56,21.43,14.02,19.75,29.97,31.81,36.04,33.29,31.11,29.08
Azerbaijan,Medium Cars,,Revenue by make,Infiniti,million USD (US$),Statista Market Insights,,6.98,5.78,4.58,3.42,3.39,1.62,2.72,1.78,2.47,3.74,4.04,4.64,4.25,3.92,3.62
Azerbaijan,Medium Cars,,Revenue by make,Nissan,million USD (US$),Statista Market Insights,,32.69,28.16,20.17,17.59,15.46,8.33,14.19,9.18,13.14,20.02,21.14,24.1,22.06,20.39,18.91
Azerbaijan,Medium Cars,,Revenue by make,Renault,million USD (US$),Statista Market Insights,,4.02,3.81,3.58,3.18,2.83,1.28,2.32,1.57,2.08,3.14,3.36,3.72,3.55,3.44,3.33
Azerbaijan,Medium Cars,,Revenue by make,Suzuki,million USD (US$),Statista Market Insights,,3.84,3.72,3.51,3.3,3.12,1.32,2.2,1.49,2.07,3.07,3.28,3.58,3.43,3.36,3.23
Azerbaijan,Medium Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,25.78,38.61,45.91,47.35,65.39,62.65,90.75,90.34,92.59,96.18,99.31,100,100,,100
Azerbaijan,Medium Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,74.22,61.39,54.09,52.65,34.61,37.35,9.25,9.66,7.41,3.82,0.69,0,0,,0
Azerbaijan,Medium Cars,,Fuel or Drive-Type Share,Alternative,percent,Statista Market Insights,,,,,,,,,,44.42,44.55,43.85,43.7,42.58,,39.37
Azerbaijan,Medium Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,5.98,6.88,8.87,10.2,11,2.01,1.19,1.76,0.91,0.93,1.48,2.19,3.3,,7.84
Azerbaijan,Medium Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,0.46,0.89,1.49,1.98,2.73,2.96,3.41,3.7,4.05,,4.66
Azerbaijan,Medium Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,94.02,93.12,91.13,89.8,88.54,97.32,97.47,96.48,52.16,51.09,51.26,50.68,50.07,,47.95
Azerbaijan,Medium Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,48.15,50.62,47.29,26.33,26.5,29.88,29.84,30.2,,,,,,,
Azerbaijan,Medium Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,51.85,49.38,43.84,63.47,62.5,61.7,70.16,69.8,96.96,94.2,91.55,88.99,86.49,,81.56
Azerbaijan,Medium Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,8.87,10.2,11,8.42,,,2.83,5.49,8,10.37,12.6,,16.64
Azerbaijan,Medium Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.22,0.31,0.45,0.64,0.91,,1.81
Azerbaijan,Medium Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,128,119.4,116.9,115.4,117.3,125.3,110,93.55,74.27,65,59.83,56.06,50.53,,41.83
